route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
862,1604A2876,106872A1604B2876,,World Trade Center,1,,10,0
862,1602A2876,107218A1602B2876,,World Trade Center,1,,10,0
1024,1604A2876,106291A1604B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106722A1602B2876,,Journal Square,0,,6,0
862,1604A2876,106864A1604B2876,,World Trade Center,1,,10,0
1024,1604A2876,106166A1604B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105802A1602B2876,,Hoboken,0,,9,0
859,1602A2876,105786A1602B2876,,33rd Street,1,,2,0
862,1602A2876,107113A1602B2876,,Newark,0,,8,0
861,1602A2876,106676A1602B2876,,Journal Square,0,,6,0
862,1603A2876,106947A1603B2876,,Newark,0,,8,0
862,1603A2876,107000A1603B2876,,World Trade Center,1,,10,0
862,1602A2876,107102A1602B2876,,Newark,0,,8,0
1024,1602A2876,106513A1602B2876,,33rd via Hoboken,1,,1,0
861,1602A2876,106725A1602B2876,,Journal Square,0,,6,0
859,1602A2876,105736A1602B2876,,33rd Street,1,,2,0
862,1602A2876,107290A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107045A1602B2876,,Newark,0,,8,0
862,1604A2876,106858A1604B2876,,Newark,0,,8,0
1024,1603A2876,106440A1603B2876,,Journal Square via Hoboken,0,,5,0
1024,1604A2876,106131A1604B2876,,33rd via Hoboken,1,,1,0
862,1604A2876,106916A1604B2876,,World Trade Center,1,,10,0
861,1602A2876,106596A1602B2876,,33rd Street,1,,7,0
860,1602A2876,105996A1602B2876,,World Trade Center,1,,4,0
862,1604A2876,106832A1604B2876,,Newark,0,,8,0
859,1602A2876,105734A1602B2876,,33rd Street,1,,2,0
862,1603A2876,107008A1603B2876,,World Trade Center,1,,10,0
862,1602A2876,107206A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,105956A1602B2876,,World Trade Center,1,,4,0
862,1602A2876,107210A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106680A1602B2876,,Journal Square,0,,6,0
862,1603A2876,106963A1603B2876,,Newark,0,,8,0
1024,1603A2876,106412A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1604A2876,106836A1604B2876,,Newark,0,,8,0
862,1602A2876,107174A1602B2876,,Newark,0,,8,0
862,1602A2876,107324A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,106012A1602B2876,,World Trade Center,1,,4,0
1024,1604A2876,106163A1604B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107081A1602B2876,,Newark,0,,8,0
861,1602A2876,106612A1602B2876,,33rd Street,1,,7,0
859,1602A2876,105702A1602B2876,,33rd Street,1,,2,0
859,1602A2876,105719A1602B2876,,33rd Street,1,,2,0
1024,1604A2876,106234A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107242A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,105926A1602B2876,,World Trade Center,1,,4,0
859,1602A2876,105698A1602B2876,,33rd Street,1,,2,0
860,1602A2876,105955A1602B2876,,World Trade Center,1,,4,0
862,1602A2876,107207A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107220A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,106016A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106409A1603B2876,,Journal Square via Hoboken,0,,5,0
860,1602A2876,105973A1602B2876,,World Trade Center,1,,4,0
1024,1603A2876,106483A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107298A1602B2876,,World Trade Center,1,,10,0
862,1603A2876,107009A1603B2876,,World Trade Center,1,,10,0
860,1602A2876,105932A1602B2876,,World Trade Center,1,,4,0
862,1603A2876,106936A1603B2876,,Newark,0,,8,0
861,1602A2876,106660A1602B2876,,33rd Street,1,,7,0
861,1602A2876,106647A1602B2876,,33rd Street,1,,7,0
860,1602A2876,106022A1602B2876,,Hoboken,0,,3,0
862,1602A2876,107061A1602B2876,,Newark,0,,8,0
861,1602A2876,106710A1602B2876,,Journal Square,0,,6,0
862,1602A2876,107236A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107311A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107292A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,106027A1602B2876,,Hoboken,0,,3,0
862,1603A2876,106949A1603B2876,,Newark,0,,8,0
1024,1604A2876,106200A1604B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106150A1604B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106146A1604B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107270A1602B2876,,World Trade Center,1,,10,0
1024,1603A2876,106305A1603B2876,,33rd via Hoboken,1,,1,0
861,1602A2876,106567A1602B2876,,33rd Street,1,,7,0
862,1603A2876,106941A1603B2876,,Newark,0,,8,0
862,1604A2876,106862A1604B2876,,Newark,0,,8,0
859,1602A2876,105853A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106654A1602B2876,,33rd Street,1,,7,0
862,1602A2876,107146A1602B2876,,Newark,0,,8,0
862,1602A2876,107089A1602B2876,,Newark,0,,8,0
860,1602A2876,106092A1602B2876,,Hoboken,0,,3,0
862,1603A2876,107021A1603B2876,,World Trade Center,1,,10,0
861,1602A2876,106709A1602B2876,,Journal Square,0,,6,0
862,1603A2876,107020A1603B2876,,World Trade Center,1,,10,0
1024,1604A2876,106174A1604B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106275A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107074A1602B2876,,Newark,0,,8,0
1024,1602A2876,106515A1602B2876,,33rd via Hoboken,1,,1,0
861,1602A2876,106703A1602B2876,,Journal Square,0,,6,0
862,1603A2876,106953A1603B2876,,Newark,0,,8,0
859,1602A2876,105897A1602B2876,,Hoboken,0,,9,0
1024,1604A2876,106189A1604B2876,,33rd via Hoboken,1,,1,0
862,1604A2876,106917A1604B2876,,World Trade Center,1,,10,0
860,1602A2876,106033A1602B2876,,Hoboken,0,,3,0
859,1602A2876,105874A1602B2876,,Hoboken,0,,9,0
1024,1603A2876,106369A1603B2876,,33rd via Hoboken,1,,1,0
1024,1603A2876,106397A1603B2876,,33rd via Hoboken,1,,1,0
862,1602A2876,107224A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106756A1602B2876,,Journal Square,0,,6,0
862,1604A2876,106899A1604B2876,,World Trade Center,1,,10,0
1024,1603A2876,106437A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107246A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106701A1602B2876,,Journal Square,0,,6,0
861,1602A2876,106724A1602B2876,,Journal Square,0,,6,0
862,1603A2876,106969A1603B2876,,Newark,0,,8,0
862,1604A2876,106907A1604B2876,,World Trade Center,1,,10,0
862,1603A2876,106966A1603B2876,,Newark,0,,8,0
859,1602A2876,105758A1602B2876,,33rd Street,1,,2,0
1024,1604A2876,106213A1604B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106743A1602B2876,,Journal Square,0,,6,0
862,1604A2876,106826A1604B2876,,Newark,0,,8,0
859,1602A2876,105753A1602B2876,,33rd Street,1,,2,0
862,1603A2876,106959A1603B2876,,Newark,0,,8,0
862,1602A2876,107230A1602B2876,,World Trade Center,1,,10,0
862,1602A2876,107286A1602B2876,,World Trade Center,1,,10,0
861,1602A2876,106678A1602B2876,,Journal Square,0,,6,0
862,1603A2876,106930A1603B2876,,Newark,0,,8,0
1024,1603A2876,106448A1603B2876,,Journal Square via Hoboken,0,,5,0
860,1602A2876,105947A1602B2876,,World Trade Center,1,,4,0
861,1602A2876,106791A1602B2876,,Journal Square,0,,6,0
862,1602A2876,107093A1602B2876,,Newark,0,,8,0
861,1602A2876,106799A1602B2876,,Journal Square,0,,6,0
862,1604A2876,106887A1604B2876,,World Trade Center,1,,10,0
861,1602A2876,106661A1602B2876,,33rd Street,1,,7,0
862,1602A2876,107329A1602B2876,,World Trade Center,1,,10,0
860,1602A2876,106074A1602B2876,,Hoboken,0,,3,0
860,1602A2876,105941A1602B2876,,World Trade Center,1,,4,0
862,1604A2876,106810A1604B2876,,Newark,0,,8,0
1024,1603A2876,106457A1603B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107172A1602B2876,,Newark,0,,8,0
1024,1604A2876,106214A1604B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105896A1602B2876,,Hoboken,0,,9,0
860,1602A2876,106054A1602B2876,,Hoboken,0,,3,0
1024,1604A2876,106176A1604B2876,,33rd via Hoboken,1,,1,0
861,1602A2876,106697A1602B2876,,Journal Square,0,,6,0
862,1602A2876,107184A1602B2876,,Newark,0,,8,0
862,1602A2876,107160A1602B2876,,Newark,0,,8,0
860,1602A2876,105950A1602B2876,,World Trade Center,1,,4,0
1024,1604A2876,106138A1604B2876,,33rd via Hoboken,1,,1,0
860,1602A2876,106042A1602B2876,,Hoboken,0,,3,0
860,1602A2876,106063A1602B2876,,Hoboken,0,,3,0
862,1603A2876,106954A1603B2876,,Newark,0,,8,0
862,1602A2876,107225A1602B2876,,World Trade Center,1,,10,0
859,1602A2876,105805A1602B2876,,Hoboken,0,,9,0
861,1602A2876,106619A1602B2876,,33rd Street,1,,7,0
861,1602A2876,106669A1602B2876,,33rd Street,1,,7,0
1024,1603A2876,106496A1603B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105763A1602B2876,,33rd Street,1,,2,0
861,1602A2876,106644A1602B2876,,33rd Street,1,,7,0
862,1602A2876,107265A1602B2876,,World Trade Center,1,,10,0
862,1604A2876,106840A1604B2876,,Newark,0,,8,0
859,1602A2876,105854A1602B2876,,Hoboken,0,,9,0
1024,1604A2876,106199A1604B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105810A1602B2876,,Hoboken,0,,9,0
862,1603A2876,106962A1603B2876,,Newark,0,,8,0
862,1603A2876,106925A1603B2876,,Newark,0,,8,0
859,1602A2876,105887A1602B2876,,Hoboken,0,,9,0
862,1604A2876,106820A1604B2876,,Newark,0,,8,0
862,1603A2876,106958A1603B2876,,Newark,0,,8,0
862,1602A2876,107325A1602B2876,,World Trade Center,1,,10,0
862,1603A2876,106943A1603B2876,,Newark,0,,8,0
1024,1604A2876,106242A1604B2876,,Journal Square via Hoboken,0,,5,0
861,1602A2876,106759A1602B2876,,Journal Square,0,,6,0
1024,1604A2876,106130A1604B2876,,33rd via Hoboken,1,,1,0
862,1603A2876,106974A1603B2876,,Newark,0,,8,0
1024,1604A2876,106270A1604B2876,,Journal Square via Hoboken,0,,5,0
862,1602A2876,107085A1602B2876,,Newark,0,,8,0
1024,1604A2876,106186A1604B2876,,33rd via Hoboken,1,,1,0
860,1602A2876,106032A1602B2876,,Hoboken,0,,3,0
1024,1604A2876,106153A1604B2876,,33rd via Hoboken,1,,1,0
859,1602A2876,105743A1602B2876,,33rd Street,1,,2,0
862,1603A2876,106988A1603B2876,,World Trade Center,1,,10,0
862,1602A2876,107055A1602B2876,,Newark,0,,8,0
862,1604A2876,106894A1604B2876,,World Trade Center,1,,10,0
1024,1603A2876,106387A1603B2876,,33rd via Hoboken,1,,1,0
1024,1604A2876,106294A1604B2876,,Journal Square via Hoboken,0,,5,0
859,1602A2876,105816A1602B2876,,Hoboken,0,,9,0
859,1602A2876,105696A1602B2876,,33rd Street,1,,2,0
1024,1604A2876,106221A1604B2876,,Journal Square via Hoboken,0,,5,0
860,1602A2876,106107A1602B2876,,Hoboken,0,,3,0
1024,1603A2876,106500A1603B2876,,Journal Square via Hoboken,0,,5,0
860,1602A2876,106049A1602B2876,,Hoboken,0,,3,0
862,1603A2876,106970A1603B2876,,Newark,0,,8,0
861,1602A2876,106561A1602B2876,,33rd Street,1,,7,0
861,1602A2876,106766A1602B2876,,Journal Square,0,,6,0
